signal,ticker,horizon,ret_type,n,ic,ci_lo,ci_hi,p,bh_reject,total_pnl,mean_per_trade,hit_rate,std_pnl
ofi_x_lm,AAPL,1,raw,502,-0.0949784487921289,-0.17590045293696874,-0.009466905778786451,0.986,False,-0.02203608409482688,-4.389658186220494e-05,0.4125,0.0004129934652854989
ofi_x_lm,AAPL,5,raw,498,-0.04788202074835326,-0.14140955948194778,0.04207876987396507,0.849,False,-0.014827968752610715,-2.977503765584481e-05,0.46745562130177515,0.0007022471143724222
ofi_x_lm,AAPL,15,raw,484,-0.02506583681917503,-0.11014949056316624,0.06154990172926555,0.686,False,-0.01714126933564504,-3.54158457348038e-05,0.4875,0.0009180738185067939
ofi_x_lm,AMD,1,raw,265,-0.04087764981997014,-0.14967205866456046,0.07449976305103025,0.758,False,-0.023612008801801213,-8.910192000679702e-05,0.4424778761061947,0.00094740942493766
ofi_x_lm,AMD,5,raw,262,-0.07698258609634806,-0.21285867008190004,0.045880870472115684,0.899,False,-0.05251979788445984,-0.00020045724383381617,0.4247787610619469,0.0021487383691760568
ofi_x_lm,AMD,15,raw,246,-0.07473796362363132,-0.1937972516343978,0.05019125954629822,0.874,False,-0.0381118315434237,-0.0001549261444854622,0.49056603773584906,0.002652074085548498
ofi_x_lm,CELH,1,raw,27,0.2577633286002162,,,0.12,False,0.0036919373432915004,0.00013673842012190741,0.8,0.0005222899492941377
ofi_x_lm,CELH,5,raw,27,0.13600871781724724,,,0.24,False,0.011058060783649,0.0004095578068018148,0.8,0.0021393657674830466
ofi_x_lm,CELH,15,raw,26,0.474625038431408,,,0.005,False,0.028862708944438202,0.0011101041901707001,1.0,0.0036898946427802947
ofi_x_lm,GILD,1,raw,53,-0.22304809906501413,-0.4649106581175651,0.042139557451978345,0.954,False,-0.0035821422152818756,-6.758758896758256e-05,0.4,0.00032505390921481
ofi_x_lm,GILD,5,raw,53,0.10063520159029057,-0.12776280407439666,0.31753510907819416,0.188,False,0.0028455666840968654,5.368993743578992e-05,0.7692307692307693,0.0006503589379661934
ofi_x_lm,GILD,15,raw,52,0.13427009328935288,-0.16972596910581175,0.4107954930507438,0.181,False,0.0032295324484560004,6.210639323953847e-05,0.6,0.0015925730808158836
ofi_x_lm,HON,1,raw,37,-0.29414701245723157,-0.5802088874372257,0.03941221832414411,0.962,False,-0.0036347883228244537,-9.823752223849874e-05,0.42857142857142855,0.0004000654887448653
ofi_x_lm,HON,5,raw,37,-0.05814577010541428,-0.45050332584706504,0.29137843632347477,0.646,False,-0.0014334981935401926,-3.8743194420005206e-05,0.4,0.0007613624320987544
ofi_x_lm,HON,15,raw,37,0.021737982860510385,-0.33050846865514283,0.3241263846002456,0.469,False,0.0039658066854362005,0.00010718396447124867,0.5333333333333333,0.0011294688099224915
ofi_x_lm,META,1,raw,433,0.01791159003342359,-0.07207509329478927,0.10812081827100402,0.354,False,0.004666513805856335,1.0777168142855278e-05,0.5069444444444444,0.000338401634580452
ofi_x_lm,META,5,raw,428,0.08898492688086869,-0.010083923072848944,0.18149487963320116,0.042,False,0.012194902527477208,2.8492762914666375e-05,0.5862068965517241,0.0007254447916404604
ofi_x_lm,META,15,raw,415,0.06517239292800711,-0.039730169324751666,0.16375331398102447,0.101,False,0.016689279427892986,4.0215131151549365e-05,0.574468085106383,0.0013996897761710833
ofi_x_lm,NVDA,1,raw,918,0.023086713897616743,-0.044804327233823604,0.08830625010954894,0.252,False,0.0011538201058402633,1.2568846468848184e-06,0.5071942446043165,0.00046093832349272364
